,AAPL,MSFT,AMZN,GOOGL,META,JNJ,JPM,BRK,PG,V,MA,WMT,UNH,INTC,CSCO,KO,PEP,DIS,VZ,T,,,AAPL,MSFT,AMZN,GOOGL,META,JNJ,JPM,BRK,PG,V,MA,WMT,UNH,INTC,CSCO,KO,PEP,DIS,VZ,T
Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,,,Linear Return ,,,,,,,,,,,,,,,,,,,
17/05/2022,148.354141,251.647507,115.3685,116.473,202.619995,170.875748,118.226776,314.600006,150.704193,202.393402,336.720795,129.266373,486.010071,42.67363,48.925751,63.888802,159.357086,108.639999,46.033394,19.386511,,,,,,,,,,,,,,,,,,,,,,
18/05/2022,139.984131,250.716507,107.112503,111.899498,192.240005,169.356857,116.204391,306.640015,141.311981,198.414978,333.77951,120.487877,465.140076,40.703335,46.759869,59.440483,156.971359,104.300003,45.986366,19.066074,,,-0.056419119,-0.003699619,-0.071561969,-0.039266628,-0.051228853,-0.008888862,-0.017105981,-0.025301942,-0.062322168,-0.019656886,-0.008735086,-0.067910128,-0.042941487,-0.046171254,-0.044268753,-0.069625957,-0.01497095,-0.039948417,-0.001021606,-0.016528864
19/05/2022,136.534729,250.142075,107.319,110.384003,191.289993,172.316727,114.481987,304.149994,138.057816,195.815613,330.122742,117.181175,472.215179,40.376553,40.339577,58.274982,157.95488,103.139999,46.183891,19.047224,,,-0.024641379,-0.002291161,0.001927852,-0.013543358,-0.004941802,0.017477119,-0.014822194,-0.008120339,-0.023028231,-0.013100649,-0.01095564,-0.027444271,0.015210693,-0.008028384,-0.137303464,-0.019607866,0.006265608,-0.011121802,0.004295295,-0.000988667
20/05/2022,136.773285,258.154602,107.591003,108.907997,193.539993,175.83461,113.543365,304.049988,138.145508,197.462524,334.057709,117.309113,479.30011,40.030556,41.519207,59.226807,161.255951,102.419998,46.588352,19.226294,,,0.001747218,0.032031904,0.002534528,-0.013371557,0.011762246,0.020415215,-0.008198862,-0.000328805,0.000635183,0.008410519,0.011919709,0.001091797,0.015003607,-0.008569256,0.029242498,0.016333338,0.020898822,-0.006980813,0.008757621,0.00940137
23/05/2022,142.260544,257.134491,107.556999,111.487999,196.229996,177.755234,120.568466,310.200012,141.321732,205.925369,346.230377,120.655182,485.56604,40.366943,41.915634,61.052761,163.417725,105.830002,46.720039,19.546732,,,0.040119377,-0.003951551,-0.000316049,0.023689739,0.013898952,0.010922901,0.061871524,0.020227016,0.022991873,0.04285798,0.036438818,0.028523521,0.013073083,0.008403256,0.009548039,0.030829857,0.013405856,0.033294318,0.002826608,0.016666655
24/05/2022,139.526871,260.006683,104.099998,105.970001,181.279999,176.010986,122.271523,309.170013,143.835419,201.034195,338.539276,122.160904,490.97348,40.049778,42.321743,62.179398,164.537552,101.589996,47.670055,19.942564,,,-0.019215961,0.011169999,-0.032141107,-0.049494098,-0.076186094,-0.009812639,0.014125227,-0.003320435,0.017786981,-0.023752168,-0.022213825,0.012479547,0.011136364,-0.007857048,0.009688724,0.018453498,0.006852543,-0.04006431,0.02033423,0.020250546
25/05/2022,139.685913,263.35434,106.775002,105.805,183.830002,175.854218,123.123055,308.640015,141.4776,202.23465,342.583588,121.412964,491.49649,40.559166,42.544132,62.227966,165.647629,103.260002,48.1968,20.074511,,,0.001139866,0.012875273,0.025696485,-0.001557054,0.014066654,-0.000890672,0.006964271,-0.001714261,-0.016392478,0.005971397,0.01194636,-0.006122581,0.001065251,0.012718872,0.005254722,0.000781095,0.006746648,0.016438686,0.011049809,0.006616351
26/05/2022,142.926559,270.624084,111.077499,107.792503,191.630005,177.451462,125.251877,312.5,142.714966,206.907578,347.681213,124.001251,495.581696,41.789402,43.501381,62.451359,167.264099,105.610001,47.961647,20.093361,,,0.023199519,0.027604421,0.040294984,0.018784585,0.042430522,0.009082773,0.017290198,0.012506431,0.008746021,0.023106466,0.014879945,0.021318045,0.00831177,0.030331886,0.022500142,0.003589913,0.009758486,0.022758076,-0.004879017,0.000939002
27/05/2022,148.75177,269.267212,115.1465,112.316498,195.130005,175.922806,127.022675,319.109985,144.897385,211.203461,355.521393,126.441902,500.397095,42.817795,44.110531,62.820427,163.349533,109.32,48.347294,20.065088,,,0.040756673,-0.005013863,0.036632091,0.041969477,0.018264363,-0.008614502,0.014137896,0.021151952,0.015292152,0.020762328,0.02254991,0.019682471,0.00971666,0.024608943,0.014003004,0.005909687,-0.023403504,0.035129239,0.008040737,-0.001407082
